id,char,gender,genre,title,line_count,pkey
46,HIGHWAY PATROLMAN,,Comedy,fearandloathinginlasvegas,35,highway_patrolman-fearandloathinginlasvegas
47,GEORGE (cont'd),M,Comedy,manonthemoon,36,george_(cont'd)-manonthemoon
48,AGENT HALLORAN,M,Action,abovethelaw,32,agent_halloran-abovethelaw
49,MILLER,M,Thriller,lordofillusions,25,miller-lordofillusions
50,JEAN HILL,F,Crime,jfk,126,jean_hill-jfk
51,(OVER RADIO),NA,Thriller,darkknightrisesthe,29,(over_radio)-darkknightrisesthe
52,TED,M,Comedy,burnafterreading,176,ted-burnafterreading
53,SANDINISTA #1,,Drama,underfire,34,sandinista_#1-underfire
54,OLIVER,M,Drama,confessionsofadangerousmind,85,oliver-confessionsofadangerousmind
55,JEFE,,Thriller,xxx,47,jefe-xxx
56,BICKERMAN,,Comedy,lakeplacid,96,bickerman-lakeplacid
57,WIPE TO:,NA,Drama,itsawonderfullife,29,wipe_to:-itsawonderfullife
58,DIRECTOR GILLET,,Drama,takinglives,148,director_gillet-takinglives
59,SCHEER,,Sci-Fi,islandthe,204,scheer-islandthe
60,KORFIN,,Thriller,15minutes,103,korfin-15minutes
61,MEGAN,F,Comedy,bridesmaids,48,megan-bridesmaids
62,ALLISON,F,Comedy,littleathens,193,allison-littleathens
63,DIGGER,,Comedy,mybestfriendswedding,205,digger-mybestfriendswedding
64,CHAMBERS,,Drama,cradle2thegrave,105,chambers-cradle2thegrave
65,CGUARD DISPATCHER ( RADIO),,Thriller,ghostship,57,cguard_dispatcher_(_radio)-ghostship
66,J.D.,,Adventure,haroldandkumargotowhitecastle,69,j.d.-haroldandkumargotowhitecastle
67,ANNE,F,Adventure,fugitivethe,51,anne-fugitivethe
68,BEN,M,Adventure,starwarstheempirestrikesback,32,ben-starwarstheempirestrikesback
69,FRANCIS,M,War,platoon,69,francis-platoon
70,ROBERT HAWKINS,M,Action,15minutes,36,robert_hawkins-15minutes
71,SLACK,F,Action,landofthedead,145,slack-landofthedead
72,LENORE,F,Drama,forrestgump,30,lenore-forrestgump
73,MANTIS,M,Action,kungfupanda,47,mantis-kungfupanda
74,NAVIGATOR,M,Adventure,dune,44,navigator-dune
75,WITHERSPOON,,Comedy,arsenicandoldlace,119,witherspoon-arsenicandoldlace
76,STAN,M,Thriller,fargo,58,stan-fargo
77,(CONTINUED),NA,Drama,whiteout,180,(continued)-whiteout
78,SLINKY,M,Comedy,toystory,85,slinky-toystory
79,DOREEN,F,Drama,getcarter,32,doreen-getcarter
80,ELLIE (cont'd),F,Drama,insomnia,102,ellie_(cont'd)-insomnia
81,MIDDLE-AGED WOMAN,F,Action,abovethelaw,23,middle-aged_woman-abovethelaw
82,BIFF,M,Fantasy,pleasantville,104,biff-pleasantville
83,FLASH,M,Action,spiderman,108,flash-spiderman
84,HAMM,M,Animation,toystory,87,hamm-toystory
85,GIDDYPU!,,Comedy,armyofdarkness,27,giddypu!-armyofdarkness
86,BOURNE,M,Thriller,bourneidentitythe,564,bourne-bourneidentitythe
87,D.J.,,Drama,bodyguard,26,d.j.-bodyguard
88,JENNIFER,F,Mystery,backdraft,260,jennifer-backdraft
89,VICK,M,Mystery,hangoverthe,896,vick-hangoverthe
90,CLAIRE,F,Mystery,whatliesbeneath,1129,claire-whatliesbeneath
91,JIGSAW,M,Crime,saw,166,jigsaw-saw
92,RENE,M,Drama,basquiat,227,rene-basquiat
93,DIRECTOR,,Comedy,replacementsthe,25,director-replacementsthe
94,TOP DOLLAR,M,Thriller,crowthe,71,top_dollar-crowthe
95,AL,M,Thriller,losthighway,62,al-losthighway
96,(CONTINUED),NA,Fantasy,wizardofozthe,254,(continued)-wizardofozthe
97,TONY,M,Romance,anniehall,87,tony-anniehall
98,BOOTH,M,Drama,walkingtall,23,booth-walkingtall
99,LUKE,M,Adventure,missiontomars,443,luke-missiontomars
100,GRU,M,Adventure,despicableme2,799,gru-despicableme2
101,ANTHONY,M,Drama,pearlharbor,48,anthony-pearlharbor
102,PARKER,F,Family,newyorkminute,759,parker-newyorkminute
103,NADEE,F,Thriller,onlygodforgives,28,nadee-onlygodforgives
104,CAPTAIN LISTER,,Thriller,mrbrooks,90,captain_lister-mrbrooks
105,LENNY,M,Drama,butterflyeffectthe,91,lenny-butterflyeffectthe
106,DICK (cont'd),M,Comedy,almostfamous,62,dick_(cont'd)-almostfamous
107,JENNIE,F,Comedy,hottubtimemachine,32,jennie-hottubtimemachine
108,M,,Drama,rebelwithoutacause,28,m-rebelwithoutacause
109,MARIANNE,F,Romance,senseandsensibility,543,marianne-senseandsensibility
110,SARAH,F,Thriller,terminator,667,sarah-terminator
111,TEACHER,,Drama,readerthe,26,teacher-readerthe
112,GRETCHEN,F,Drama,helpthe,21,gretchen-helpthe
113,WERNER,M,Drama,takingsides,45,werner-takingsides
114,HANK,M,Horror,eightleggedfreaks,23,hank-eightleggedfreaks
115,MR. MCQUIRE,M,Comedy,graduatethe,24,mr._mcquire-graduatethe
116,JEREMY,M,Drama,unbreakable,86,jeremy-unbreakable
117,ODA MAE,F,Fantasy,ghost,618,oda_mae-ghost
118,MCGUIRE,M,Crime,afewgoodmen,34,mcguire-afewgoodmen
119,JACK,M,Mystery,laconfidential,347,jack-laconfidential
120,JIM VOICE,M,Drama,doorsthe,44,jim_voice-doorsthe
121,PEARSON,M,Thriller,daytheearthstoodstillthe,32,pearson-daytheearthstoodstillthe
122,PILOT,,Romance,fifthelementthe,32,pilot-fifthelementthe
123,DONALD,M,Drama,adaptation,298,donald-adaptation
124,SHERRI,,Romance,soimarriedanaxemurderer,64,sherri-soimarriedanaxemurderer
125,ROMAN COP,,Thriller,angelsdemons,25,roman_cop-angelsdemons
126,MORRISON,M,Action,terminatorsalvation,40,morrison-terminatorsalvation
127,HOWARD,M,Thriller,afewgoodmen,95,howard-afewgoodmen
128,BETSY,F,Fantasy,beinghuman,232,betsy-beinghuman
129,TOMLIN,,Thriller,cellular,83,tomlin-cellular
130,MOSES,M,Romance,hudsuckerproxythe,99,moses-hudsuckerproxythe
131,BETSY,F,Drama,taxidriver,321,betsy-taxidriver
132,MISTER FRENCH,M,Crime,departedthe,127,mister_french-departedthe
133,WALLACE,M,Music,takingsides,62,wallace-takingsides
134,DON LUIS,M,Action,colombiana,119,don_luis-colombiana
135,(THEN),NA,Drama,moneyball,86,(then)-moneyball
136,RHAH,,Action,platoon,189,rhah-platoon
137,ANYA,F,Family,anastasia,354,anya-anastasia
138,RADIO (GARBER),,Crime,takingofpelhamonetwothreethe,36,radio_(garber)-takingofpelhamonetwothreethe
139,ELI'S VOICE,,Action,stuntmanthe,27,eli's_voice-stuntmanthe
140,MUSIC FADES OUT,,Drama,intothewild,30,music_fades_out-intothewild
141,VANCE,M,Horror,bladetrinity,146,vance-bladetrinity
142,LERNER,M,War,platoon,69,lerner-platoon
143,TOM,M,Mystery,scream3,73,tom-scream3
144,JONES,M,Fantasy,perfectcreature,406,jones-perfectcreature
145,CANTER,M,Thriller,surrogates,24,canter-surrogates
146,DONNIE (O.C.),M,Crime,donniebrasco,21,donnie_(o.c.)-donniebrasco
147,BARON,M,Sci-Fi,dune,159,baron-dune
148,RAYMOND,M,Drama,citizenkane,105,raymond-citizenkane
149,YOUNG MAN,M,Thriller,longkissgoodnightthe,28,young_man-longkissgoodnightthe
150,BOY OXFORD,M,Drama,anonymous,24,boy_oxford-anonymous
151,KENNY,M,Action,hardrain,77,kenny-hardrain
152,SARAH,F,Crime,thelmalouise,26,sarah-thelmalouise
153,QUINN,,Comedy,newyorkminute,91,quinn-newyorkminute
154,STINGER,M,Action,topgun,22,stinger-topgun
155,RONNIE,F,Thriller,metro,212,ronnie-metro
156,BANKY,,Adventure,jayandsilentbobstrikeback,81,banky-jayandsilentbobstrikeback
157,STARSCREAM,M,Sci-Fi,transformersthemovie,64,starscream-transformersthemovie
158,KORFIN,M,Crime,15minutes,103,korfin-15minutes
159,DR. BAY,M,Crime,blow,26,dr._bay-blow
160,TARA V/O,F,Drama,moneyball,36,tara_v/o-moneyball
161,MR. DANVERS,M,Sci-Fi,supergirl,26,mr._danvers-supergirl
162,DOLLY,F,Horror,suspectzero,40,dolly-suspectzero
163,DR. TRAMMEL,,Romance,bodyofevidence,21,dr._trammel-bodyofevidence
164,STELLA,F,Comedy,airplane2thesequel,97,stella-airplane2thesequel
165,DOCTOR,M,Comedy,asgoodasitgets,24,doctor-asgoodasitgets
166,CHEEBA,M,Comedy,bamboozled,176,cheeba-bamboozled
167,SCHINDLER,M,War,schindlerslist,1009,schindler-schindlerslist
168,KATIE,F,Crime,burnafterreading,253,katie-burnafterreading
169,CICI,F,Thriller,scream2,130,cici-scream2
170,JANINE,F,Sci-Fi,shivers,85,janine-shivers
171,LLOYD,M,Romance,fabulousbakerboysthe,26,lloyd-fabulousbakerboysthe
172,ALEXA,,Romance,zerophilia,25,alexa-zerophilia
173,(JAFAR says the word 'princess' with the accent on,NA,Animation,aladdin,28,(jafar_says_the_word_'princess'_with_the_accent_on-aladdin
174,ANNABEL,F,Comedy,youvegotmail,54,annabel-youvegotmail
175,AMANDA,F,Musical,honeydripper,114,amanda-honeydripper
176,EARL,M,Drama,pearlharbor,25,earl-pearlharbor
177,SIMONE / VIKTOR,,Sci-Fi,simone,113,simone_/_viktor-simone
178,MOTHER,F,Drama,rebelwithoutacause,119,mother-rebelwithoutacause
179,GRIGORI,M,Sci-Fi,frankenstein,28,grigori-frankenstein
180,PACE,,Crime,wildatheart,32,pace-wildatheart
181,DR. RESFIELD,,Drama,minorityreport,42,dr._resfield-minorityreport
182,LULU,F,Comedy,pacifierthe,128,lulu-pacifierthe
183,DRUMMOND,M,Drama,hospitalthe,209,drummond-hospitalthe
184,KAYLEIGH,F,Drama,butterflyeffectthe,356,kayleigh-butterflyeffectthe
185,"REVISED May 16, 1989",NA,Horror,gremlins2,23,"revised_may_16,_1989-gremlins2"
186,RED DOG,M,Drama,almostfamous,22,red_dog-almostfamous
187,RED DOG,M,Romance,almostfamous,22,red_dog-almostfamous
188,KING,,War,platoon,184,king-platoon
189,LARRY,M,Action,ronin,135,larry-ronin
190,FISTE,M,Action,heavymetal,69,fiste-heavymetal
191,BURT GRUSINSKY,M,Drama,weownthenight,262,burt_grusinsky-weownthenight
192,FISTE,M,Sci-Fi,heavymetal,69,fiste-heavymetal
193,MAXINE,F,Drama,ghostworld,26,maxine-ghostworld
194,BOOKER D,M,Drama,wrestlerthe,24,booker_d-wrestlerthe
195,JENNIFER,F,Comedy,buffythevampireslayer,91,jennifer-buffythevampireslayer
196,WALTER,M,Drama,changeling,49,walter-changeling
197,PAUL,M,Comedy,500daysofsummer,144,paul-500daysofsummer
198,BOSIE,M,Romance,coldmountain,25,bosie-coldmountain
199,SEED.,,Adventure,intothewild,21,seed.-intothewild
200,CONNOR,M,Drama,boondocksaints2allsaintsday,293,connor-boondocksaints2allsaintsday
201,CRUZ,M,Thriller,entrapment,72,cruz-entrapment
202,SINCLAIR,,Adventure,tronlegacy,190,sinclair-tronlegacy
203,MILLER,F,Crime,faceoff,26,miller-faceoff
204,COMA,,Action,pearlharbor,43,coma-pearlharbor
205,CHRISTMAS,F,Adventure,worldisnotenoughthe,152,christmas-worldisnotenoughthe
206,FRANK,M,Comedy,megamind,53,frank-megamind
207,AUDREY,F,Thriller,legion,119,audrey-legion
208,LISA,F,Comedy,fasttimesatridgemonthigh,34,lisa-fasttimesatridgemonthigh
209,MAN,M,Mystery,biglebowskithe,29,man-biglebowskithe
210,NANCY,F,Drama,silverliningsplaybook,29,nancy-silverliningsplaybook
211,TOM,M,Horror,scream3,73,tom-scream3
212,AIDE,,Action,airforceone,36,aide-airforceone
213,STEVE,M,Mystery,hangoverthe,31,steve-hangoverthe
214,JENNIFER,F,Thriller,scream3,113,jennifer-scream3
215,REV. SULLIVAN,M,Drama,walktoremembera,205,rev._sullivan-walktoremembera
216,MAN,M,Action,rambofirstbloodiithemission,44,man-rambofirstbloodiithemission
217,CHRISTOPHER,M,Comedy,30minutesorless,32,christopher-30minutesorless
218,TAKAGI,M,Action,diehard,69,takagi-diehard
219,ELLIE (cont'd),F,Thriller,insomnia,102,ellie_(cont'd)-insomnia
220,TALIA,F,Action,darkknightrisesthe,64,talia-darkknightrisesthe
221,BILL,M,Comedy,henryfool,27,bill-henryfool
222,DJ,,Comedy,forrestgump,28,dj-forrestgump
223,DOC,,Drama,magnolia,31,doc-magnolia
224,PREW'S VOICE,M,Drama,fromheretoeternity,42,prew's_voice-fromheretoeternity
225,GUARD,,Thriller,midnightexpress,26,guard-midnightexpress
226,COLONEL AL-GHAZI,M,Action,kingdomthe,516,colonel_al-ghazi-kingdomthe
227,QUINCEY,M,Thriller,saltonseathe,21,quincey-saltonseathe
228,INIGO,M,Family,princessbridethe,440,inigo-princessbridethe
229,HAMMOND,M,Action,jurassicparkthelostworld,106,hammond-jurassicparkthelostworld
230,BRYAN,M,Drama,lifeasahouse,93,bryan-lifeasahouse
231,COUNTESS,F,War,barrylyndon,190,countess-barrylyndon
232,BELLE,F,Horror,feast,58,belle-feast
233,VOICE,,Thriller,super8,28,voice-super8
234,HANDS,,Comedy,snatch,259,hands-snatch
235,KAREN,F,Romance,nottinghill,33,karen-nottinghill
236,ELROND,M,Action,lordoftheringsfellowshipoftheringthe,106,elrond-lordoftheringsfellowshipoftheringthe
237,SUSAN,F,War,patriotthe,33,susan-patriotthe
238,LISA,F,Drama,manonfire,175,lisa-manonfire
239,RUBY,F,Drama,jfk,51,ruby-jfk
240,JAMES LEER,M,Drama,wonderboys,489,james_leer-wonderboys
241,SALESWOMAN # 1,,Romance,prettywomanfinalscript,25,saleswoman_#_1-prettywomanfinalscript
242,FOREIGN EDITOR,,Drama,allthepresidentsmen,41,foreign_editor-allthepresidentsmen
243,JULIE,F,Romance,17again,125,julie-17again
244,DISSOLVE TO:,NA,Drama,horsewhispererthe,23,dissolve_to:-horsewhispererthe
245,HEDGES,,Thriller,bladetrinity,37,hedges-bladetrinity
246,BOB,M,Romance,runawaybride,142,bob-runawaybride
247,ENGINE VOICE,,Animation,cars2,60,engine_voice-cars2
248,JONNO,M,Comedy,kingofcomedythe,35,jonno-kingofcomedythe
249,OFFICER TURLINGTON,,Horror,gothika,60,officer_turlington-gothika
250,CORTEZ,M,Action,gijane,50,cortez-gijane
251,JEANNIE,F,Sci-Fi,next,23,jeannie-next
252,CASANOVA,M,Fantasy,mysterymen,292,casanova-mysterymen
253,WOMAN,F,Drama,wrestlerthe,21,woman-wrestlerthe
254,ST. JOHN,M,Drama,powerofonethe,129,st._john-powerofonethe
255,ECKER,M,Drama,thirteendays,78,ecker-thirteendays
256,DANIELS,M,Thriller,takingofpelhamonetwothreethe,28,daniels-takingofpelhamonetwothreethe
257,HAL,M,Action,thelmalouise,290,hal-thelmalouise
258,BLAKE,M,Action,darkknightrisesthe,417,blake-darkknightrisesthe
259,STAGE AGENT,NA,Mystery,tallinthesaddle,33,stage_agent-tallinthesaddle
260,MIRANDA (VO),F,Action,rushhour,35,miranda_(vo)-rushhour
261,CREIGHTON,M,Drama,manwhowasnttherethe,151,creighton-manwhowasnttherethe
262,BULL,,Comedy,monkeybone,33,bull-monkeybone
263,SELENA,F,Adventure,supergirl,160,selena-supergirl
264,BUD,M,Thriller,abyssthe,486,bud-abyssthe
265,VADIM NEZHINSKI,M,Thriller,weownthenight,98,vadim_nezhinski-weownthenight
266,NICK/CARLOTTA,,Comedy,youthinrevolt,28,nick/carlotta-youthinrevolt
267,GEEHAN,M,Drama,manhunter,36,geehan-manhunter
268,YOUNG MAN (cont'd),M,Romance,meetjoeblack,30,young_man_(cont'd)-meetjoeblack
269,HEIDI,F,Fantasy,butterflyeffectthe,35,heidi-butterflyeffectthe
270,TEACHER,,Romance,cinemaparadiso,21,teacher-cinemaparadiso
271,BERNIE,M,Comedy,nottinghill,79,bernie-nottinghill
272,MOTHER,F,Drama,barrylyndon,90,mother-barrylyndon
273,GALOVITCH,M,Drama,fromheretoeternity,43,galovitch-fromheretoeternity
274,JACK,M,Crime,laconfidential,347,jack-laconfidential
275,ATC,,Drama,flight,66,atc-flight
276,STILGAR,,Adventure,dune,139,stilgar-dune
277,JOBAL,,Adventure,starwarsattackoftheclones,22,jobal-starwarsattackoftheclones
278,ATHENA,F,Crime,lonestar,84,athena-lonestar
279,HOLLOWAY,,Adventure,prometheus,359,holloway-prometheus
280,OFFICIAL,,Crime,jfk,23,official-jfk
281,JIM,M,Crime,jfk,2936,jim-jfk
282,KATE,F,Drama,tombstone,35,kate-tombstone
283,AJAY,,Sci-Fi,jurassicparkthelostworld,35,ajay-jurassicparkthelostworld
284,DOT,,Drama,icestormthe,24,dot-icestormthe
285,ARCEE,,Animation,transformersthemovie,54,arcee-transformersthemovie
286,POLICE OFFICER,,Thriller,babel,97,police_officer-babel
287,GOATEE KID,M,Comedy,wonderboys,23,goatee_kid-wonderboys
288,DISSOLVE TO:,NA,Action,abovethelaw,32,dissolve_to:-abovethelaw
289,DIANE,F,Drama,rememberme,150,diane-rememberme
290,SARUMAN,M,Adventure,lordoftheringsfellowshipoftheringthe,119,saruman-lordoftheringsfellowshipoftheringthe
291,JENNIFER,F,Mystery,grudgethe,62,jennifer-grudgethe
292,CAPTAIN,,Romance,soimarriedanaxemurderer,70,captain-soimarriedanaxemurderer
293,HEDRA,F,Thriller,singlewhitefemale,603,hedra-singlewhitefemale
294,JONAH,,Drama,sleeplessinseattle,442,jonah-sleeplessinseattle
295,GERROLD,,Comedy,ghostworld,27,gerrold-ghostworld
296,GIMLI,M,Fantasy,lordoftheringsreturnoftheking,58,gimli-lordoftheringsreturnoftheking
297,CAZ,,Crime,takingofpelhamonetwothreethe,34,caz-takingofpelhamonetwothreethe
298,DANA,,Fantasy,liarliar,67,dana-liarliar
299,BROTHER BUYL,M,Adventure,1492conquestofparadise,28,brother_buyl-1492conquestofparadise
300,BENNY,M,Family,sandlotkidsthe,324,benny-sandlotkidsthe
301,DARRELL CARTRIP,,Animation,cars2,54,darrell_cartrip-cars2
302,INTERVIEWER,,Comedy,trumanshowthe,67,interviewer-trumanshowthe
303,JESSE,,Crime,looper,28,jesse-looper
304,ALICE (CON'T),F,Drama,losthighway,50,alice_(con't)-losthighway
305,ALANSO,,Horror,insidious,32,alanso-insidious
306,JACKSON,,Action,abovethelaw,213,jackson-abovethelaw
307,JACOB,M,Thriller,jacobsladder,1258,jacob-jacobsladder
308,VOICE,NA,Fantasy,fifthelementthe,72,voice-fifthelementthe
309,ANNINA NOSEI,,Drama,basquiat,74,annina_nosei-basquiat
310,MOM,F,Drama,highfidelity,35,mom-highfidelity
311,FRANCESCO,,Adventure,cars2,109,francesco-cars2
312,T-BIRD,,Fantasy,crowthe,68,t-bird-crowthe
313,JENNA,F,Sci-Fi,pi,29,jenna-pi
314,BURNS,M,Drama,hisgirlfriday,1578,burns-hisgirlfriday
315,HEATHER,F,Drama,clerks,68,heather-clerks
316,VOICE,,Romance,intolerablecruelty,45,voice-intolerablecruelty
317,EAMES,,Adventure,inception,272,eames-inception
318,THE MAN,M,Adventure,bourneidentitythe,51,the_man-bourneidentitythe
319,NEWSCASTER,,Thriller,feast,29,newscaster-feast
320,BOY,M,Drama,elephantmanthe,43,boy-elephantmanthe
321,HOLLY,F,Action,diehard,183,holly-diehard
322,DOROTA,F,Biography,pianistthe,98,dorota-pianistthe
323,STRACK,M,Thriller,darkman,129,strack-darkman
324,MRS. DEEGAN (cont'd),F,Drama,almostfamous,26,mrs._deegan_(cont'd)-almostfamous
325,WOMAN,F,Comedy,custody,32,woman-custody
326,SHEP,M,Thriller,fargo,33,shep-fargo
327,MARROW (cont'd),,Mystery,hauntingthe,104,marrow_(cont'd)-hauntingthe
328,FLYNN,,Action,tronlegacy,404,flynn-tronlegacy
329,TRAXLER,,Romance,terminator,84,traxler-terminator
330,BORAS V/O,M,Drama,moneyball,31,boras_v/o-moneyball
331,IKE,M,Romance,runawaybride,781,ike-runawaybride
332,BARRY,M,Comedy,thisis40,62,barry-thisis40
333,SOLOMON,M,Drama,magnolia,58,solomon-magnolia
334,TEEMO,,Adventure,willow,67,teemo-willow
335,DOUGLAS,M,Comedy,cradle2thegrave,31,douglas-cradle2thegrave
336,VICTOR TELLEGIO,M,Crime,americanhustle,79,victor_tellegio-americanhustle
337,GIRL ON PHONE,F,Thriller,scream2,40,girl_on_phone-scream2
338,HILDY,F,Drama,hisgirlfriday,1610,hildy-hisgirlfriday
339,OWENS,M,Horror,pitchblack,78,owens-pitchblack
340,A AS THOMAS,,Comedy,shakespeareinlove,85,a_as_thomas-shakespeareinlove
341,YORITOMO,M,Adventure,lastsamuraithe,38,yoritomo-lastsamuraithe
342,HEAD,M,Adventure,startreknemesis,31,head-startreknemesis
343,OBLY,,Drama,annakarenina,163,obly-annakarenina
344,POOCH,,Mystery,losersthe,252,pooch-losersthe
345,DIETRICH,,Crime,faceoff,60,dietrich-faceoff
346,MRS. WHEATLEY,F,Horror,shivers,39,mrs._wheatley-shivers
347,MOTHER,F,Comedy,mysterymen,36,mother-mysterymen
348,MARIE,F,Romance,frankenstein,27,marie-frankenstein
349,CUT.,NA,Drama,chronicle,72,cut.-chronicle
350,(BEAT),NA,Drama,marthamarcymaymarlene,77,(beat)-marthamarcymaymarlene
351,SOLDIER,,Drama,robinhoodprinceofthieves,22,soldier-robinhoodprinceofthieves
352,MISS PETERS,F,Drama,pleasantville,24,miss_peters-pleasantville
353,CLARISSA,F,Comedy,haroldandkumargotowhitecastle,23,clarissa-haroldandkumargotowhitecastle
354,SAWSAN,,Drama,fairgame,100,sawsan-fairgame
355,PORTER,,Crime,aliennation,27,porter-aliennation
356,DOLLY,F,Drama,suspectzero,40,dolly-suspectzero
357,VOICE,NA,Action,stuntmanthe,67,voice-stuntmanthe
358,JOEY,,Crime,sisteract,118,joey-sisteract
359,DIETER,,Action,jurassicparkthelostworld,27,dieter-jurassicparkthelostworld
360,BETH,F,Adventure,detroitrockcity,90,beth-detroitrockcity
361,METATRON,,Adventure,dogma,69,metatron-dogma
362,OFFICER,,Drama,minorityreport,23,officer-minorityreport
363,GEORGIA,,Crime,confessionsofadangerousmind,30,georgia-confessionsofadangerousmind
364,SANDY,,Comedy,beavisandbuttheaddoamerica,21,sandy-beavisandbuttheaddoamerica
365,TOULOUR,,Comedy,oceanstwelve,228,toulour-oceanstwelve
366,SECRET SERVICE MAN,,Drama,taxidriver,24,secret_service_man-taxidriver
367,WHITE,,Action,tombstone,95,white-tombstone
368,TRAVERS,,Adventure,cliffhanger,362,travers-cliffhanger
369,DON CORLEONE,M,Drama,godfatherpartii,34,don_corleone-godfatherpartii
370,DOC,,Action,getawaythe,692,doc-getawaythe
371,BOB ANDERS,M,Drama,argo,27,bob_anders-argo
372,LIBBY,,Drama,fairgame,108,libby-fairgame
373,POPPA M,,Thriller,boondocksaints2allsaintsday,161,poppa_m-boondocksaints2allsaintsday
374,PICARD,,Crime,confessionsofadangerousmind,35,picard-confessionsofadangerousmind
375,DIRECTOR,NA,Action,pacifierthe,21,director-pacifierthe
376,DAN,,Adventure,heavymetal,160,dan-heavymetal
377,UNTITLED,NA,Drama,almostfamous,30,untitled-almostfamous
378,MILLER,,Action,lastboyscoutthe,31,miller-lastboyscoutthe
379,SYLVIA,F,Thriller,dogdayafternoon,152,sylvia-dogdayafternoon
380,REGGIE,F,Thriller,charade,1475,reggie-charade
381,MARIE,F,Crime,frenchconnectionthe,49,marie-frenchconnectionthe
382,ESTELLE,,Drama,youthinrevolt,212,estelle-youthinrevolt
383,BORELLI,,Crime,casino,50,borelli-casino
384,MRS. MULWRAY,F,Thriller,chinatown,29,mrs._mulwray-chinatown
385,MINISTER,M,Drama,ghost,24,minister-ghost
386,KATHERINE,F,Thriller,prophecythe,574,katherine-prophecythe
387,HENRY,M,Horror,armyofdarkness,51,henry-armyofdarkness
388,THE HWIFE,,Drama,killbillvolume12,27,the_hwife-killbillvolume12
389,SENATOR MALCOLM,,Crime,minorityreport,67,senator_malcolm-minorityreport
390,DUFFY,,Action,boondocksaints2allsaintsday,116,duffy-boondocksaints2allsaintsday
391,DR. EHRLICH,,Biography,pianistthe,22,dr._ehrlich-pianistthe
392,JAVIER,,Comedy,hesjustnotthatintoyou,24,javier-hesjustnotthatintoyou
393,APRIL,F,Romance,revolutionaryroad,690,april-revolutionaryroad
394,SPEYER,,Sci-Fi,residentevil,46,speyer-residentevil
