	Genre	actual	char	line	pred	linelength
134	Western	1	MACREEDY	and this, i guess, is yours?	1.0	6
135	Romance	0	JEANNE	listen to mine.	1.0	3
136	Drama	1	TED	i brought you some milk and cookies. if you want some you have to eat them now, because you're going to sleep.	1.0	22
137	Action	1	TREVOR	i thought the shaolin monks were warriors, not babies! look at him  he is too scared to face me!	1.0	19
138	Drama	0	MELBA	"you mean you don't remember last night? we drank all that champagne and you said ""let's get married right away,"" and we chartered a plane to --"	1.0	27
139	Romance	1	WESSEX	i rejoiced at his death because i thought it was yours. that is all i know of marlowe.	1.0	18
140	Romance	1	BARRY	is that car gonna be ok?	1.0	6
141	Mystery	0	ALICE	hi...	1.0	1
142	Crime	0	BONNIE	who is it?	1.0	3
143	Romance	0	GIGI	i can't wait to kiss you again.	1.0	7
144	Mystery	1	DEWEY	humor me, sid.	1.0	3
145	Comedy	1	LARRY	i...	1.0	1
146	Mystery	1	VENABLES	sergeant - we got a brassiere over here. looks like it could be blood.	1.0	14
147	Adventure	1	CHRIS	you alright?	1.0	2
148	Adventure	0	UGGA	what? grug!	0.0	2
149	Adventure	1	CHUCK	there.  there.  easy now.	1.0	4
150	Romance	1	BART	oh really, like what?	1.0	4
151	Adventure	1	JAM	kind of funny, i thought he'd be pissed as hell at me.	1.0	12
152	Drama	1	LANCEY	five grand? nice, tidy sum. i'll put out the same.	1.0	10
153	Comedy	0	NAOMI	ah, what am i gonna do? the no-kill pet shelter won't take him. numtoknumtok.	1.0	14
154	Romance	0	CELESTE	she looks around to make an excuse.	1.0	7
155	Romance	0	LUCA	had to come back.	1.0	4
156	Sci-Fi	0	SERENA	not everyone can become like us, marcus. we just don't have the resources to sustain more than a few thousand hybrids.	1.0	21
157	Crime	1	RAYMOND	i am raymond.     thank you for allowing to stay here. numtoknumtok.	1.0	11
158	Crime	1	MORTIMER	well, rehash it in your mind. i'll be back in a minute.	1.0	12
159	Romance	1	JOHN	what?	1.0	1
160	Adventure	0	ELLEN	would you like something? some coffee	0.0	6
161	Romance	0	ANNA	i couldn't sleep, i wanted to walk around...	1.0	8
162	Comedy	1	BOYD	stop it!	1.0	2
163	Drama	0	SAWSAN	sa'ad has disappeared. his wife, his children are missing. my uncle in mansour. he said they were targeting them. they were killing them..	0.0	23
164	Drama	1	MACREEDY	well, that's mighty noble of you. you feel ashamed -- that's noble, too.  and four years from now you'll probably be sitting here telling somebody else you haven't forgotten me. that's progress -- you'll still be ashamed but i'll be dead.	1.0	41
165	Sci-Fi	1	REED	ben, think about all the people we can help if this works --	1.0	13
166	Drama	1	JIM	it is for me too.	1.0	5
167	Romance	0	LORETTA	beautiful. sad. she died!	1.0	4
168	Animation	0	ELLA	mumble?	0.0	1
169	Comedy	1	FISHER	how much?	1.0	2
170	Romance	1	MINER	but everyone will be coming soon. and it will get all crazy, and we won't have any time to ourselves.	1.0	20
171	Mystery	0	JENNIFER	basements creep me out.	1.0	4
172	Drama	1	ANDREW	i promise!	1.0	2
173	War	1	WARDEN	listen. listen. please.	1.0	3
174	Romance	1	PAUL	are you all right?	1.0	4
175	Crime	0	GINGER	oh...	1.0	1
176	Drama	1	DAMONE	you made me do it! you locked the door. you made me do it! you wanted it more than me!	1.0	20
177	Comedy	1	MARK	it's a never-before-heard historical event from the past.	1.0	8
178	Comedy	1	BLOOM	it's nothing ... nothing.	1.0	4
179	Fantasy	1	QUINN	 quinn.  zoey? interesting.	0.0	3
180	Crime	1	MONTAGUE	many a morning hath he there been	1.0	7
181	Fantasy	1	ZEKE	okay.	1.0	1
182	Crime	1	DOC	 i guess i'm kind of...	1.0	5
183	Crime	1	BEN	they won't stay late, will they?	1.0	6
184	Fantasy	0	MIA	do you want some more strawberries?	1.0	6
185	Mystery	1	"""WALTER"""	i don't remember. i know you, but i don't remember your name.	1.0	12
186	Drama	1	DOG	 come on jimbo, one more place to go. ray's getting married man, this morning, remember! you're the best man.	1.0	19
187	Drama	1	BERNSTEIN	let me lay a little theory on you--	1.0	8
188	Mystery	0	MARIE	for twenty thousand dollars.	1.0	4
189	Comedy	0	BARBARA	i've got the bill here to pay yet.	1.0	8
190	Drama	1	ROPER	 right there, the one in front... yeah, that one. toss it.	1.0	11
191	Adventure	1	NORRINGTON	so it would seem.	1.0	4
192	Drama	1	DUKE	yeah, something's wrong with the motor...	1.0	6
193	Action	1	ROPER	no. actually i think it's fucking crazy, i don't know if i could do it.	1.0	15
194	Mystery	1	RYAN	like you swore to protect and serve? the reference brings greer up short.	1.0	13
195	Mystery	0	TATUM	i'm not talking to you.	1.0	5
196	Drama	0	LUCY	go back where?	1.0	3
197	Romance	1	PAUL	you're wet.	1.0	2
198	Comedy	1	BRAD	it ain't nothin'? that faggot juicehead's gonna make a playground outta your asshole like he's back in the joint, and it ain't nothin'? and you heard all the stories i heard, about that horse-cock, and how he can't stop shootin' his mouth off about it too, like when he whipped it out at tomlinson's party...	1.0	55
199	Fantasy	0	JENNY	and as brightly as the sun would shine when he was with me, every time he left it disappeared. i wanted to be as important to him as you were, and i was never going to be. i was make-believe and his other life, you, were real.	1.0	47
200	Crime	1	NICKY	fugged aboudit. mercedes? that's a jewish car. they didn't get it enough from the germans in the war-- now they gotta be robbed by them.	1.0	25
201	Sci-Fi	1	CLERK	 he was only meeting a lady... aren't you guys overdoing it a bit? numtoknumtokb     ext. street - night numtoknumtok      ext. park avenue - night - close on street sign numtoknumtok      int. pawnshop - night	1.0	34
202	Romance	1	SID	it wasn't offered.	1.0	3
203	Crime	0	MATHILDE	you've done a good job, mr. clarke. thank you. thank you very much.	1.0	13
204	Romance	0	LETTY	 everything's a joke with you. numtoknumtok.	1.0	6
205	Horror	0	KARA	danny!!!	0.0	1
206	Sci-Fi	1	RYAN	say something... anything.	1.0	3
207	Drama	1	DADDY	why, that looks like dave wilkie,	1.0	6
208	Adventure	1	INDY	 thanks you.  marion's dead.	1.0	4
209	Adventure	0	ANNA	thank you.	1.0	2
210	Romance	1	ALVY	no, i cannot.  you keep bringing it up, but i don't wanna live in a city where the only cultural advantage is that you can make a right turn on a red light.	1.0	33
211	Drama	1	BILLY	do i look like i'm worried?	1.0	6
212	Sci-Fi	1	PAUL	 a thumper. numtoknumtoknumtoka.      numtoknumtoknumtok. ext. rock cliff - deep desert - night --	1.0	13
213	Drama	1	JADEN	you get your hair cut?	1.0	5
214	Comedy	1	GRAHAM	ah, so you were expecting it to sell. they never sell anymore. they used to sell. but now they don't. i'm not a sexy sixteen-year-old girl.	1.0	26
215	Mystery	0	CASEY	 who's there?	1.0	2
216	Romance	1	TONY	you're an asshole.	1.0	3
217	Romance	0	ZOE	well, are they going to come out and tell me? and that's not even the point. he said, the babies weren't his. and if he says that, he thinks that. and if he thinks that, he's not really committed.	1.0	39
218	Mystery	1	ABBOTT	and what if i couldn't do that?	1.0	7
219	Drama	1	WHIP	so does she have the knife out for me?	1.0	9
220	Drama	1	COLIN	which one is which? she bursts out laughing. her eyes sparkle and she looks captivating in the glistening lights. he goes to kiss her and this time she doesn't stop him. colin's bristol is drawn up in a quiet suburban road lined with pleasant semi-detached houses. lucy's house has a neat patch of front lawn, a stolid family car in the drive and net curtains in the windows. it is very little different from any of its neighbours.	0.0	78
221	Sci-Fi	1	EDSEL	 yeah, well it won't be long now.  are you you're gonna testify for sternn.	1.0	14
222	Comedy	1	RICK	you're absolutely right. i should never have stopped to save that drowning infant. i'm just weak, sister; i'm so weak.	0.0	20
223	Romance	1	SID	 maybe it is...	1.0	3
224	Adventure	1	BRODY	ooohh, nothing. i just got fired, that's all.	1.0	8
225	Romance	1	KELLY	yup. there it was. the whole school saw it. wasn't too impressive either	1.0	13
226	Romance	0	ANNIE	 m'hm.  yeah.  yeah.	1.0	3
227	Romance	1	MICHAEL	yes?   go right ahead.	1.0	4
228	Thriller	1	RAMIREZ	with my job!? what do you think my job is, maura... huh? what do you think is out there? a nice, pretty safe little world with shopping malls and little league and ballet lessons. you sit here in your little kitchen and cook your little meals...	1.0	46
229	Crime	1	MARSHALL	but if your plan is to have him kill you, why do you have to kill someone else first?	1.0	19
230	War	1	DOOLITTLE	you have rooms at the biltmore.  i suggest a nice meal and a good night's sleep.  we leave tomorrow.	1.0	19
231	Drama	1	MICKEY	that's the point, you stupid fuck. let them buy it. we let them buy the case. that's what i took it for. you let this drop -- we'll go up to new hampshire, kill some fuckin' deer...	1.0	37
232	Drama	1	JACOB	it's got something to do with some- thing. i think we've got to confront the army. if they're hiding shit fro us, we better find out what it is.	1.0	29
233	Drama	1	NEIL	join?	1.0	1
234	Fantasy	1	PAUL	you'll keep a civil tongue on my block.	1.0	8
235	Mystery	0	STELLA	it's happened before, you know! some of the world's happiest marriage have started 'under the gun' you might say.	1.0	19
236	Drama	1	MO	 i mean. on a fucking vhs video cassette. where's noah when you need him?	1.0	14
237	Fantasy	1	STU	maybe you could talk to death!	1.0	6
238	Mystery	1	MATTHEW	jen?   are you up there? he climbs up the stairs, walking to -- matthew stands in the doorway of the dark room.   he tries the light switch. nothing happens.	1.0	29
239	Drama	1	MACREEDY	 don't worry, i won't.	1.0	4
240	Romance	1	GUS	does it have zombies?	1.0	4
241	Adventure	1	SKIPPER	 we've come a long way gentlemen. but this is no time for heroes.  i know you're much more, but i need you to be boys right now.  that's an order.  now scatter and find your passports.	1.0	36
242	Action	1	JIMMY	my dad keeps it in his closet. here.	1.0	8
243	Drama	0	AMBER	well as you may or may not know, this is an important film for me. if it's not a hit, i'm gonna get kicked out of my apartment. my landlord is a real jerk.	1.0	34
244	Romance	0	VIVIAN	the penthouse. mmmm !	1.0	4
245	Romance	0	FLAEMMCHEN	 all right. we'll dance.	1.0	4
246	Action	0	HOLLY	oh...where does he live?	1.0	4
247	Drama	0	JACKIE	okay, what is this?  if you want to dump luke on me, no sale.  you're stuck with him. and before she can sit...	1.0	23
248	Crime	1	GABRIEL	i promised that when he helped us, we'd be gone! when he helped us! loverboy don't want to play!	1.0	19
249	Comedy	1	KIRKEBY	what do i -- ?  just a minute.	1.0	8
250	Crime	0	KATIE	five.	1.0	1
251	Crime	0	MIRANDA	you've built a lot of security around a damp squib. about three years ago a russian scientist published a paper on weaponized fusion reactions. one week later your reactor started developing problems...  i think this machine works.	1.0	37
252	Drama	0	LIBBETS	thanks for the advice dad.	1.0	5
253	Crime	1	MARSHAL	drop it, joe!!!!!	1.0	3
254	Adventure	0	STELLA	you really make laugh.	1.0	4
255	Mystery	1	MAN	i wouldn't do that if i were you.	1.0	8
256	Crime	1	DANNY	can your man handle that?	1.0	5
257	Comedy	1	BOCK	not you, biegelman. ambler.	1.0	4
258	Adventure	1	GRU	first of all, you've got no proof that i did that. second, after i did do that, i put it back!	1.0	21
259	Crime	1	DOUG	i t ' s a boxing match hands. hands isn't happy.	1.0	11
260	Comedy	1	MOSS	he's going to be fine, aren't you boy...?	1.0	8
261	Horror	1	CARTER	alright, browning, you fuckin' warlock... did you know about ms. lewton, or what?	1.0	13
262	Action	1	MIKE	jesus, didn't ya hear crime's down seven-percent...	1.0	7
263	Drama	1	BERNSTEIN	 yeah?	1.0	1
264	Crime	1	ROCCO	she took a flight to san francisco. we figure she's going to connect to new hampshire; her parents' place.	1.0	19
265	Mystery	1	LARRY	it took-took six months to get the...	1.0	7
266	Romance	0	GIGI	well, conor, i had a really nice time.	1.0	8
267	Romance	1	ALFREDO	i've shown it so many times i know it by heart. the first time i showed it, in numtoknumtoknumtoknumtok, was the sunday my first wife died. they kept it hidden from me all day so they wouldn't have to close down the movie house. i only found out that night, after the last show. those are things you never forget...  so, toto, how are these home movies going?	0.0	68
268	Romance	0	JUDGE	yes. i need to establish who wrote the report.	1.0	9
269	Crime	1	PHIL	longitude numtoknumtoknumtok --	1.0	3
270	Drama	0	NICOLE	that's not what i meant. you should tell everyone what you just told nick behind the set.	0.0	17
271	Comedy	1	PUFF	 i have to talk. is that okay?	1.0	7
272	Adventure	0	JILLIAN	uhh, open up!	1.0	3
273	Thriller	0	AGNIESKA	what... what are you going to do to me.	1.0	9
274	Romance	0	MARIANNE	--but you--you i wronged above all. only i knew your heart and its sorrow but even then i was never a grain more compassionate. i brought my illness upon myself--i wanted to destroy myself. and had i succeeded, what misery should i have caused you?	1.0	45
275	Comedy	1	TIM	so.	1.0	1
276	Romance	0	JUDIT	ernesto hired various detectives to search for you, b before they found you, you called me, two days after the premier.  i was too embarrassed to answer, and... too stunned. i still am when ernesto senior asked me again about you, i don't know why, i gave him the phone number for famara...	0.0	53
277	Sci-Fi	1	RUSH	can we take out those x-net guys?	1.0	7
278	Crime	0	CLAIRE	 yeah.	1.0	1
279	Adventure	0	MOTHER	can i help you?	1.0	4
280	Mystery	0	EMILY	who is this...?	1.0	3
281	Crime	0	JANI	three cards.	1.0	2
282	Crime	1	JULIAN	good morning officers. how can i help you?	1.0	8
283	Drama	1	BUZZ	moo.	1.0	1
284	Comedy	0	ANNABELLE	but we're hungry -- and i have to pick up my costume for the pageant!  it starts at seven!	1.0	19
285	Mystery	0	TATUM	is that you, randy? cute.	0.0	5
286	Romance	1	ENDICOTT	you've been sucking around that cucko ever since he's been in the death- house. everybody knows you're his sweetheart.	1.0	19
287	Comedy	0	LOIS	 group shot. here we go boys! yes sir, compare and contrast time!	1.0	12
288	Drama	1	DADDY	 um-hmmuhh. i never drink a whole cup, my nerves can't stand the caffeine. ehh-hh, lord awful insomnia in reverse last night. lay there and sweated blood for hours.	0.0	28
289	Mystery	1	DENNIS	 well, let's have a look.	1.0	5
290	Sci-Fi	1	KELVIN	how old were you?	1.0	4
291	Crime	0	MOM	 lord's name.	1.0	2
292	Mystery	0	CAROL	look, larry. all i know is he lied, okay ? he lied.	0.0	12
293	Romance	1	BOBBY	 i know, right?	1.0	3
294	Drama	1	JIM	bird of prey, bird of prey flying high, flying high in the summer sky high, flying high gently pass by bird of prey, bird of prey flying high, flying high take me on your flight  i will come again down from the wild mountains	1.0	44
295	Romance	0	VIVIAN	yeah. be still like vegetables. lay like broccoli.	1.0	8
296	Romance	0	HANA	he came back, he says he caught a rabbit.  i'm cooking it.	1.0	12
297	War	0	ADA	this war's made some things pointles it's hard to imagine a wedding. i think even my father would recognize that.	1.0	20
298	Drama	1	ACKERMAN	 what? you thought i didn't know? you were unwittingly quite helpful; without you mr. demidov might have escaped justice.	1.0	19
299	Crime	1	KEYES	two for a quarter.	1.0	4
300	Romance	0	GRUSINSKAYA	the pearls won't break -- they hold together and bring me bad luck ---- i hate them!	1.0	17
301	Comedy	0	MOTHER	and what are those? phillip takes a deep breath.	0.0	9
302	Romance	1	JOHN	so, what do you do, frank?	1.0	6
303	Crime	1	DUFFY	new hitman wants to leave his mark	1.0	7
304	Drama	1	SOLDIER	good catch, gump. you know how to play this?	1.0	9
305	Crime	0	BONNIE	don't touch me!	1.0	3
306	Romance	1	BAINES	 spoken words?	1.0	2
307	Horror	1	JACK	i'd do anything for him.  any fucking thing for him.	1.0	10
308	Mystery	1	LARRY	oh, she's a great cook, though, really. her duck and fenne omelette on a bed of scallops and hollandaise sauce with truffles and sweetbreads'll make you snap into a fetal position and have you in bed screaming for a month.	0.0	40
309	Drama	1	JAKE	that musta messed 'em up pretty bad.	1.0	7
310	Crime	1	KEYES	i don't get it.	1.0	4
311	Fantasy	0	KARIN	"""and the second angel sounded, and as it were a great mountain burning with fire was cast into the sea; and a third part of the sea became blood ..."""	1.0	30
312	Romance	0	JANINE	wait - really?	1.0	3
313	Romance	0	JUNO	eh, i'll call them myself. but i do need your help with something very urgent.	1.0	15
314	Music	0	VANITY	hey...	1.0	1
315	Drama	0	CARLA	no.	1.0	1
316	Comedy	0	JOYCE	 delusions of grandeur.	1.0	3
317	Sci-Fi	1	JONES	next he'll be wanting an fucking medal.	1.0	7
318	Romance	1	EDWARD	the more so since she settled the money upon him so irrevocably--	1.0	12
319	Horror	1	HECTOR	i'm a civilian!  you don't have any authority--	1.0	8
320	Sci-Fi	1	MEGATRON	die autobots!	1.0	2
321	Comedy	0	VIVIENNE	burt! get off my son!	1.0	5
322	Mystery	1	TED	i'm interested in her theory. what... i don't... what are you...	1.0	11
323	Fantasy	1	GANDALF	the ring is yours now. but it somewhere out of sight. gandalf rises hurriedly and starts to gather his things.	1.0	20
324	Fantasy	1	JACOB	hundred and eight degrees over here.	1.0	6
325	Comedy	0	MURIEL	i thought you were.	1.0	4
326	Crime	1	SID	you are so full of shit. you don't want your job back. you just want to prove you're smarter than she is.	1.0	22
327	Horror	1	JERRY	no... yeah, they ripped him to pieces while his family watched from the car. the wife is screaming, the kids are crying. some dude in another car filmed the whole thing.	1.0	31
328	Drama	0	BETH	guess.	1.0	1
329	Comedy	1	HENRY	why not?	1.0	2
330	Adventure	1	CHUCK	it was a bad dream...	1.0	5
