	actual	char	line	pred	prob	linelength
103	1	PREW	Lissen, I ain't think in of now. But I got a plan cookin in my head. You want to go back to the States in a year. Well, you could stretch it some, make it two years. And I could swing a Sergeant's stripes -- If I were a non-com the Army'd let me pick my duty when I re-enlist. (lost in the picture of	1.0	0.903309583664	65
104	1	HYPNOS	You've heard of a fate worse than Death? That's what's waiting for you if you screw up.	1.0	0.762064516544	17
105	1	KEATING	Thank you Mr. Dalton. Gentlemen, tell you what, don't just tear out that page, tear out the entire introduction. I want it gone, history. Leave nothing of it. Rip it out. Rip! Begone J. Evans Pritchard, Ph.D. Rip, shred, tear. Rip it out. I want to hear nothing but ripping of Mr. Pritchard.	1.0	0.959589421749	53
106	1	JEREMY	You mean like Janet and the kids.	1.0	0.808038175106	7
107	0	GAIL	(offscreen) Hey, Mickey!	0.0	0.475059866905	3
108	1	PAUL	It's worse. There was an explosi or something. The coffin's breaking, there's sand pouring i from everywhere. I only have a half an hour before --	1.0	0.688902795315	26
109	1	HAROLD	She's coming back in ten days! It's not like I'm never gonna see her again.	1.0	0.689343690872	15
110	1	ARTHUR	Anyone know a good bar?	1.0	0.73323059082	5
111	0	CICI	Who do you want to speak with? Nobody's here.	1.0	0.703332066536	9
112	0	JOAN	Shots! (to the bartender) Kamikazes, good sir.	1.0	0.854273438454	7
113	1	ARAMIS	Not just a baby, Porthos.  I carried the child of the king.	1.0	0.864307940006	12
114	0	GRANDMA	Maybe I need new glasses?	1.0	0.715793728828	5
115	1	JEHUDA	(dismissing him) Rumours, rumours, you take it all too much to heart, Wladek.	1.0	0.675685346127	13
116	1	LARRY	After everything I've done for you? The car, the cell phone (which you threw away), the safehouse, the fake passport? Someone has to pay for this shit, Jack! I have to pay for this shit. It comes out of my commission. You're my lousy profit margin. Why the fuck would I take a contract out on my own profit margin? You're not thinking straight. I was the one who told you to leave town! I told you to come to Rome! God damn it you've got a job to do! Why the Hell would I...	1.0	0.874954760075	95
117	1	DOYLE	I hate to remind you -- but this all started because you said she was murdered. Now did anyone, including you, actually see her murdered?	1.0	0.634425342083	25
118	1	COLONEL	Yes.	1.0	0.679144144058	1
119	0	LUISA	p. 22	1.0	0.703128576279	2
120	0	PAMELA	Unbelievable.	1.0	0.706282675266	1
121	1	BARON	Goodbye, Jessica and goodbye to your sweet son....  I want to spit once on your head... just some spittle on your face -- what a luxury.	1.0	0.606654286385	26
122	1	MCCLANE	You got a warranty on this?	1.0	0.778437554836	6
123	1	NICK	You loaded it, Vince! I saw you!	1.0	0.94281989336	7
124	1	HENRY	One word?	1.0	0.679144144058	2
125	1	SPICOLI	I thought he was out of town.	1.0	0.597839951515	7
126	0	ELAINE	The bumps you feel are car-sized asteroid smashing into the hull.	1.0	0.931136012077	11
127	0	LENA	Yeah.	1.0	0.700356721878	1
128	1	BAILIFF	Hear ye, hear ye. All rise, face our flag and recognize the principles for which it stands. The Criminal Court, Department G is now in session. The Honorable Harold W. Pine presiding.	1.0	0.932569265366	32
129	1	ZAMMITO	When you return please extend my regards to Mr. Maranzano and his family.	1.0	0.605944216251	13
130	1	BETA	Wait a minute, wait a minute! What is this? Chocolate. I smell chocolate.	1.0	0.698408484459	13
131	1	TOM	It's a flood, Charlie. You're gonna get wet.	1.0	0.771023511887	8
132	1	BEN	But dad, you guys truly hated each other, I mean really hated each --	1.0	0.507449388504	14
133	1	ELLWOOD	I said put it on the floor, not kick it under the bed.	1.0	0.652223706245	13
134	1	MACREEDY	And this, I guess, is yours?	1.0	0.742875516415	6
135	0	JEANNE	Listen to mine.	1.0	0.707720935345	3
136	1	TED	I brought you some milk and cookies. If you want some you have to eat them now, because you're going to sleep.	1.0	0.642539620399	22
137	1	TREVOR	I thought the Shaolin monks were warriors, not babies! Look at him  he is too scared to face me!	1.0	0.90087044239	19
138	0	MELBA	"You mean you don't remember last night? We drank all that champagne and you said ""Let's get married right away,"" and we chartered a plane to --"	1.0	0.688847303391	27
139	1	WESSEX	I rejoiced at his death because I thought it was yours. That is all I know of Marlowe.	1.0	0.699056386948	18
140	1	BARRY	Is that car gonna be ok?	1.0	0.736794114113	6
141	0	ALICE	Hi...	1.0	0.504951417446	1
142	0	BONNIE	Who is it?	1.0	0.679144144058	3
143	0	GIGI	I can't wait to kiss you again.	1.0	0.611783564091	7
144	1	DEWEY	Humor me, Sid.	1.0	0.624395847321	3
145	1	LARRY	I...	1.0	0.679144144058	1
146	1	VENABLES	Sergeant - we got a brassiere over here. Looks like it could be blood.	1.0	0.886690199375	14
147	1	CHRIS	You alright?	1.0	0.675533652306	2
148	0	UGGA	What? Grug!	0.0	0.483779907227	2
149	1	CHUCK	There.  There.  Easy now.	1.0	0.835280954838	4
150	1	BART	Oh really, like what?	0.0	0.4411650002	4
151	1	JAM	Kind of funny, I thought He'd be pissed as hell at me.	1.0	0.612457334995	12
152	1	LANCEY	Five grand? Nice, tidy sum. I'll put out the same.	1.0	0.810757756233	10
153	0	NAOMI	Ah, what am I gonna do? The no-kill pet shelter won't take him. 81.	1.0	0.836182773113	14
154	0	CELESTE	She looks around to make an excuse.	1.0	0.628646850586	7
155	0	LUCA	Had to come back.	1.0	0.686901092529	4
156	0	SERENA	Not everyone can become like us, Marcus. We just don't have the resources to sustain more than a few thousand hybrids.	1.0	0.700148403645	21
157	1	RAYMOND	I am Raymond.     Thank you for allowing to stay here. 16.	1.0	0.752371966839	11
158	1	MORTIMER	Well, rehash it in your mind. I'll be back in a minute.	1.0	0.661598861217	12
159	1	JOHN	What?	1.0	0.679144144058	1
160	0	ELLEN	Would you like something? Some coffee	1.0	0.582789063454	6
161	0	ANNA	I couldn't sleep, I wanted to walk around...	1.0	0.665247857571	8
162	1	BOYD	Stop it!	1.0	0.646559596062	2
163	0	SAWSAN	Sa'ad has disappeared. His wife, his children are missing. My uncle in Mansour. He said they were targeting them. They were killing them..	0.0	0.322171241045	23
164	1	MACREEDY	Well, that's mighty noble of you. You feel ashamed -- that's noble, too. (in mounting crescendo) And four years from now you'll probably be sitting here telling somebody else you haven't forgotten me. That's progress -- you'll still be ashamed but I'll be dead.	1.0	0.520863652229	44
165	1	REED	Ben, think about all the people we can help if this works --	1.0	0.501453876495	13
166	1	JIM	It is for me too.	1.0	0.638218641281	5
167	0	LORETTA	Beautiful. Sad. She died!	1.0	0.653824448586	4
168	0	ELLA	Mumble?	0.0	0.19559918344	1
169	1	FISHER	How much?	1.0	0.69628059864	2
170	1	MINER	But everyone will be coming soon. And it will get all crazy, and we won't have any time to ourselves.	1.0	0.679039895535	20
171	0	JENNIFER	Basements creep me out.	1.0	0.717944204807	4
172	1	ANDREW	I promise!	1.0	0.668451726437	2
173	1	WARDEN	Listen. Listen. Please.	1.0	0.721310198307	3
174	1	PAUL	Are you all right?	1.0	0.660101175308	4
175	0	GINGER	Oh...	1.0	0.601478219032	1
176	1	DAMONE	You made me do it! You locked the door. You made me do it! You wanted it more than me!	1.0	0.59261739254	20
177	1	MARK	It's a never-before-heard historical event from the past.	1.0	0.723720014095	8
178	1	BLOOM	It's nothing ... nothing.	1.0	0.672973155975	4
179	1	QUINN	(He returns the gesture) Quinn. (beat) Zoey? Interesting.	1.0	0.584889411926	8
180	1	MONTAGUE	Many a morning hath he there been	1.0	0.675385415554	7
181	1	ZEKE	Okay.	1.0	0.672518014908	1
182	1	DOC	(continuing) I guess I'm kind of...	1.0	0.764655828476	6
183	1	BEN	They won't stay late, will they?	1.0	0.673007130623	6
184	0	MIA	Do you want some more strawberries?	1.0	0.596517205238	6
185	1	"""WALTER"""	I don't remember. I know you, but I don't remember your name.	1.0	0.655548393726	12
186	1	DOG	(lifting Jim out of there) Come on Jimbo, one more place to go. Ray's getting married man, this morning, remember! You're the best man.	1.0	0.832374274731	24
187	1	BERNSTEIN	Let me lay a little theory on you--	1.0	0.73615527153	8
188	0	MARIE	For twenty thousand dollars.	1.0	0.750906765461	4
189	0	BARBARA	I've got the bill here to pay yet.	1.0	0.713356018066	8
190	1	ROPER	(continuing) Right there, the one in front... yeah, that one. Toss it.	1.0	0.820873320103	12
191	1	NORRINGTON	So it would seem.	1.0	0.636695981026	4
192	1	DUKE	Yeah, something's wrong with the motor...	1.0	0.786208212376	6
193	1	ROPER	No. Actually I think it's fucking crazy, I don't know if I could do it.	1.0	0.662923395634	15
194	1	RYAN	Like you swore to protect and serve? The reference brings Greer up short.	1.0	0.800636947155	13
195	0	TATUM	I'm not talking to you.	1.0	0.676359832287	5
196	0	LUCY	Go back where?	1.0	0.681199491024	3
197	1	PAUL	You're wet.	1.0	0.675174534321	2
198	1	BRAD	It ain't nothin'? That faggot juicehead's gonna make a playground outta your asshole like he's back in the joint, and it ain't nothin'? And you heard all the stories I heard, about that horse-cock, and how he can't stop shootin' his mouth off about it too, like when he whipped it out at Tomlinson's party...	1.0	0.9132989645	55
199	0	JENNY	And as brightly as the sun would shine when he was with me, every time he left it disappeared. I wanted to be as important to him as you were, and I was never going to be. I was make-believe and his other life, you, were real.	0.0	0.413911193609	47
200	1	NICKY	Fugged aboudit. Mercedes? That's a Jewish car. They didn't get it enough from the Germans in the war-- now they gotta be robbed by them.	1.0	0.961110830307	25
201	1	CLERK	(continuing) He was only meeting a lady... Aren't you guys overdoing it a bit? 32B     EXT. STREET - NIGHT 33      EXT. PARK AVENUE - NIGHT - CLOSE ON STREET SIGN 34      INT. PAWNSHOP - NIGHT	1.0	0.850316107273	35
202	1	SID	It wasn't offered.	1.0	0.662089288235	3
203	0	MATHILDE	You've done a good job, Mr. Clarke. Thank you. Thank you very much.	1.0	0.646893501282	13
204	0	LETTY	(softly) Everything's a joke with you. 54.	1.0	0.650062859058	7
205	0	KARA	Danny!!!	1.0	0.583531141281	1
206	1	RYAN	Say something... Anything.	1.0	0.689783453941	3
207	1	DADDY	Why, that looks like Dave Wilkie,	1.0	0.890136957169	6
208	1	INDY	(nods) Thanks you. (grave) Marion's dead.	1.0	0.958822190762	6
209	0	ANNA	Thank you.	1.0	0.641281545162	2
210	1	ALVY	No, I cannot.  You keep bringing it up, but I don't wanna live in a city where the only cultural advantage is that you can make a right turn on a red light.	1.0	0.837358236313	33
211	1	BILLY	Do I look like I'm worried?	1.0	0.697091221809	6
212	1	PAUL	(inner voice) A thumper. 161A.     (Deleted) 162. EXT. ROCK CLIFF - DEEP DESERT - NIGHT --	1.0	0.954784095287	16
213	1	JADEN	You get your hair cut?	1.0	0.679144144058	5
214	1	GRAHAM	Ah, so you were expecting it to sell. They never sell anymore. They used to sell. But now they don't. I'm not a sexy sixteen-year-old girl.	1.0	0.696677565575	26
215	0	CASEY	(calling out) Who's there?	1.0	0.707341849804	4
216	1	TONY	You're an asshole.	1.0	0.673890411854	3
217	0	ZOE	Well, are they going to come out and tell me? And that's not even the point. He said, the babies weren't his. And if he says that, he thinks that. And if he thinks that, he's not really committed.	0.0	0.428278625011	39
218	1	ABBOTT	And what if I couldn't do that?	1.0	0.679144144058	7
219	1	WHIP	So does she have the knife out for me?	1.0	0.566212892532	9
220	1	COLIN	Which one is which? She bursts out laughing. Her eyes sparkle and she looks captivating in the glistening lights. He goes to kiss her and this time she doesn't stop him. Colin's Bristol is drawn up in a quiet suburban road lined with pleasant semi-detached houses. Lucy's house has a neat patch of front lawn, a stolid family car in the drive and net curtains in the windows. It is very little different from any of its neighbours.	0.0	0.416269510984	78
221	1	EDSEL	(to Fiste) Yeah, well it won't be long now.  Are you you're gonna testify for Sternn.	1.0	0.904177427292	16
222	1	RICK	You're absolutely right. I should never have stopped to save that drowning infant. I'm just weak, Sister; I'm so weak.	0.0	0.364291459322	20
223	1	SID	(carefully) Maybe it is...	1.0	0.679144144058	4
224	1	BRODY	Ooohh, nothing. I just got fired, that's all.	1.0	0.736281633377	8
225	1	KELLY	Yup. There it was. The whole school saw it. Wasn't too impressive either	1.0	0.858671367168	13
226	0	ANNIE	(Laughing) M'hm.  Yeah.  Yeah.	0.0	0.4768691957	4
227	1	MICHAEL	Yes?   Go right ahead.	1.0	0.677247166634	4
228	1	RAMIREZ	With my job!? What do you think my job is, Maura... huh? What do you think is out there? A nice, pretty safe little world with shopping malls and little league and ballet lessons. You sit here in your little kitchen and cook your little meals...	1.0	0.854993402958	46
229	1	MARSHALL	But if your plan is to have him kill you, why do you have to kill someone else first?	1.0	0.679144144058	19
230	1	DOOLITTLE	You have rooms at the Biltmore.  I suggest a nice meal and a good night's sleep.  We leave tomorrow.	1.0	0.654575526714	19
231	1	MICKEY	That's the point, you stupid fuck. Let them buy it. We let them buy the case. That's what I took it for. You let this drop -- we'll go up to New Hampshire, kill some fuckin' deer...	1.0	0.997930884361	37
232	1	JACOB	It's got something to do with some- thing. I think we've got to confront the army. If they're hiding shit fro us, we better find out what it is.	1.0	0.911253631115	29
233	1	NEIL	Join?	1.0	0.797928094864	1
234	1	PAUL	You'll keep a civil tongue on my block.	1.0	0.905873537064	8
235	0	STELLA	It's happened before, you know! Some of the world's happiest marriage have started 'under the gun' you might say.	1.0	0.805885195732	19
236	1	MO	(of the VHS in Cy's hand) I mean. On a fucking VHS video cassette. Where's Noah when you need him?	1.0	0.947298109531	20
237	1	STU	Maybe you could talk to Death!	1.0	0.677669405937	6
238	1	MATTHEW	Jen?   Are you up there? He climbs up the stairs, walking to -- Matthew stands in the doorway of the dark room.   He tries the light switch. Nothing happens.	1.0	0.805494725704	29
239	1	MACREEDY	(dryly) Don't worry, I won't.	0.0	0.497248381376	5
240	1	GUS	Does it have zombies?	1.0	0.666813492775	4
241	1	SKIPPER	(to crew) We've come a long way gentlemen. But this is no time for heroes.  I know you're much more, but I need you to be boys right now.  That's an order.  Now scatter and find your passports.	1.0	0.900987505913	38
242	1	JIMMY	My dad keeps it in his closet. Here.	1.0	0.64342468977	8
243	0	AMBER	Well as you may or may not know, this is an important film for me. If it's not a hit, I'm gonna get kicked out of my apartment. My landlord is a real jerk.	1.0	0.712074816227	34
244	0	VIVIAN	The penthouse. Mmmm !	1.0	0.68605786562	4
245	0	FLAEMMCHEN	(slowly) All right. We'll dance.	1.0	0.711922943592	5
246	0	HOLLY	Oh...Where does he live?	1.0	0.501352131367	4
247	0	JACKIE	Okay, what is this?  If you want to dump Luke on me, no sale.  You're stuck with him. And before she can sit...	1.0	0.687708795071	23
248	1	GABRIEL	I promised that when he helped us, we'd be gone! When he helped us! Loverboy don't want to play!	1.0	0.729513049126	19
249	1	KIRKEBY	What do I -- ? (to Sylvia) Just a minute.	1.0	0.731158435345	10
250	0	KATIE	Five.	1.0	0.702131748199	1
251	0	MIRANDA	You've built a lot of security around a damp squib. About three years ago a Russian scientist published a paper on weaponized fusion reactions. One week later your reactor started developing problems... (Looks at Wayne.) I think this machine works.	1.0	0.803095757961	40
252	0	LIBBETS	Thanks for the advice dad.	1.0	0.679144144058	5
253	1	MARSHAL	Drop it, Joe!!!!!	1.0	0.721881210804	3
254	0	STELLA	You really make laugh.	1.0	0.611170887947	4
255	1	MAN	I wouldn't do that if I were you.	1.0	0.678920388222	8
256	1	DANNY	Can your man handle that?	1.0	0.799808621407	5
257	1	BOCK	Not you, Biegelman. Ambler.	1.0	0.673491954803	4
258	1	GRU	First of all, you've got no proof that I did that. Second, after I did do that, I put it back!	1.0	0.685095191002	21
259	1	DOUG	I t ' s a boxing match Hands. Hands isn't happy.	1.0	0.850673675537	11
260	1	MOSS	He's going to be fine, aren't you boy...?	1.0	0.533472061157	8
261	1	CARTER	Alright, Browning, you fuckin' warlock... did you know about Ms. Lewton, or what?	1.0	0.957069098949	13
262	1	MIKE	Jesus, didn't ya hear crime's down seven-percent...	1.0	0.819974005222	7
263	1	BERNSTEIN	(turns) Yeah?	1.0	0.697114765644	2
264	1	ROCCO	She took a flight to San Francisco. We figure she's going to connect to New Hampshire; her parents' place.	1.0	0.740221261978	19
265	1	LARRY	It took-took six months to get the...	1.0	0.60691934824	7
266	0	GIGI	Well, Conor, I had a really nice time.	1.0	0.520827949047	8
267	1	ALFREDO	I've shown it so many times I know it by heart. The first time I showed it, in 1940, was the Sunday my first wife died. They kept it hidden from me all day so they wouldn't have to close down the movie house. I only found out that night, after the last show. Those are things you never forget... (Changing his tone.) So, Toto, how are these home movies going?	1.0	0.641707837582	71
268	0	JUDGE	Yes. I need to establish who wrote the report.	1.0	0.746218204498	9
269	1	PHIL	Longitude 109 --	1.0	0.731741964817	3
270	0	NICOLE	That's not what I meant. You should tell everyone what you just told Nick behind the set.	0.0	0.487437933683	17
271	1	PUFF	(to Lila, guiltily) I have to talk. Is that okay?	1.0	0.806608915329	10
272	0	JILLIAN	Uhh, open up!	1.0	0.893694996834	3
273	0	AGNIESKA	What... what are you going to do to me.	1.0	0.643973529339	9
274	0	MARIANNE	--but you--you I wronged above all. Only I knew your heart and its sorrow but even then I was never a grain more compassionate. I brought my illness upon myself--I wanted to destroy myself. And had I succeeded, what misery should I have caused you?	1.0	0.836425483227	45
275	1	TIM	So.	1.0	0.679144144058	1
276	0	JUDIT	Ernesto hired various detectives to search for you, b before they found you, you called me, two days after the premier. (Slowly, debilitated.) I was too embarrassed to answer, and... too stunned. I still am When Ernesto Senior asked me again about you, I don't know why, I gave him the phone number for Famara...	0.0	0.36802276969	55
277	1	RUSH	Can we take out those X-Net guys?	1.0	0.87750607729	7
278	0	CLAIRE	(too emotional to really talk) Yeah.	1.0	0.589528918266	6
279	0	MOTHER	Can I help you?	1.0	0.677661776543	4
280	0	EMILY	Who is this...?	1.0	0.679144144058	3
281	0	JANI	Three cards.	1.0	0.820869624615	2
282	1	JULIAN	Good morning officers. How can I help you?	1.0	0.948411941528	8
283	1	BUZZ	Moo.	1.0	0.679144144058	1
284	0	ANNABELLE	But we're hungry -- and I have to pick up my costume for the pageant!  It starts at seven!	1.0	0.685621976852	19
285	0	TATUM	Is that you, Randy? Cute.	0.0	0.460804373026	5
286	1	ENDICOTT	You've been sucking around that cucko ever since he's been in the death- house. Everybody knows you're his sweetheart.	1.0	0.806651711464	19
287	0	LOIS	(with camera) Group shot. Here we go boys! Yes sir, compare and contrast time!	1.0	0.818955898285	14
288	1	DADDY	(a growl, doesn't like jokes about his foibles) Um-hmmuhh. I never drink a whole cup, my nerves can't stand the caffeine. Ehh-hh, Lord awful insomnia in reverse last night. Lay there and sweated blood for hours.	1.0	0.538279831409	36
289	1	DENNIS	(gestures for them to come out) Well, let's have a look.	1.0	0.911566138268	11
290	1	KELVIN	How old were you?	1.0	0.679144144058	4
291	0	MOM	(dogmatically) Lord's name.	1.0	0.678593218327	3
292	0	CAROL	Look, Larry. All I know is he lied, okay ? He lied.	0.0	0.424139529467	12
293	1	BOBBY	(to Jalisa) I know, right?	1.0	0.679144144058	5
294	1	JIM	Bird of prey, bird of prey Flying high, flying high in the summer sky high, flying high gently pass by Bird of prey, bird of prey flying high, flying high Take me on your flight (pause then) I will come again down from the wild mountains	1.0	0.893220305443	46
295	0	VIVIAN	Yeah. Be still like vegetables. Lay like broccoli.	1.0	0.863081872463	8
296	0	HANA	He came back, he says he caught a rabbit.  I'm cooking it.	1.0	0.70114594698	12
297	0	ADA	This war's made some things pointles It's hard to imagine a wedding. I think even my father would recognize that.	1.0	0.579002976418	20
